Change Physical Footprint: Designator=R21 Old Footprint=0603-RES New Footprint=0603-RES
Change Physical Footprint: Designator=R22 Old Footprint=0603-RES New Footprint=0603-RES
Change Physical Footprint: Designator=S1 Old Footprint=micro-sd New Footprint=micro-sd
Change Physical Footprint: Designator=U1 Old Footprint=LGA14 New Footprint=LGA14
Change Physical Footprint: Designator=U2 Old Footprint=16LPCC New Footprint=16LPCC
Change Physical Footprint: Designator=U3 Old Footprint=QFN-24_ITG3200_1:1 New Footprint=QFN-24_ITG3200_1:1
Change Physical Footprint: Designator=U4 Old Footprint=MS5611-01BA03 New Footprint=MS5611-01BA03
Change Physical Footprint: Designator=U5 Old Footprint=SOT563-2 New Footprint=SOT563-2
Change Physical Footprint: Designator=U6 Old Footprint=LGA8 New Footprint=LGA8
Change Physical Footprint: Designator=U7 Old Footprint=SOIC-8-ILD205T New Footprint=SOIC-8-ILD205T
Change Physical Footprint: Designator=U8 Old Footprint=SOIC127P600X175-8N New Footprint=SOIC127P600X175-8N
